date,track_name,artist_name,uri,link,uri_real,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"September 4, 2022 at 02:46AM",She Wants to See You Cry,Nature TV,3REso3eKtF8pGZWlFOuxre,https://open.spotify.com/track/3REso3eKtF8pGZWlFOuxre,spotify:track:3REso3eKtF8pGZWlFOuxre,0.701,0.725,11,-6.277,0.0305,0.0691,0.00432,0.301,0.889,119.873,221067
"September 4, 2022 at 02:49AM","If I Die, I Don't Mind",Gold Spectacles,78TX81ZcbPbjR1qXZ2BMwu,https://open.spotify.com/track/78TX81ZcbPbjR1qXZ2BMwu,spotify:track:78TX81ZcbPbjR1qXZ2BMwu,0.896,0.713,8,-7.207,0.057,0.168,0.000523,0.194,0.793,133.03,193195
"September 4, 2022 at 02:53AM",Rainbows,Bochek,6FGI0rHNeWbLsI1uv7RjFI,https://open.spotify.com/track/6FGI0rHNeWbLsI1uv7RjFI,spotify:track:6FGI0rHNeWbLsI1uv7RjFI,0.585,0.673,4,-5.812,0.0361,0.00269,0.0393,0.272,0.576,130.087,197010
"September 4, 2022 at 02:56AM",Don’t Delete Me,shy kids,3Mxq3NQ0pZnPZgpIp2IPqs,https://open.spotify.com/track/3Mxq3NQ0pZnPZgpIp2IPqs,spotify:track:3Mxq3NQ0pZnPZgpIp2IPqs,0.487,0.537,1,-7.425,0.167,0.169,0.0,0.0745,0.499,171.935,192558
"September 4, 2022 at 02:59AM",Stay with Me,Abc Dialect,1HOtBxFpB8GpVYmDatHVLY,https://open.spotify.com/track/1HOtBxFpB8GpVYmDatHVLY,spotify:track:1HOtBxFpB8GpVYmDatHVLY,0.637,0.621,9,-8.52,0.0411,0.121,0.0188,0.0842,0.963,95.908,203051
"September 4, 2022 at 03:03AM","Bang, Bang",Cheerleader,6Z8YghjDN19jWlRRtlL2AV,https://open.spotify.com/track/6Z8YghjDN19jWlRRtlL2AV,spotify:track:6Z8YghjDN19jWlRRtlL2AV,0.546,0.869,2,-2.839,0.0441,0.22,0.00424,0.284,0.685,131.973,233293
"September 4, 2022 at 03:06AM","Let's Jam, Girl",New Islands,3zSUVwdnWlp5A4GG9fyX1t,https://open.spotify.com/track/3zSUVwdnWlp5A4GG9fyX1t,spotify:track:3zSUVwdnWlp5A4GG9fyX1t,0.835,0.463,5,-11.127,0.0338,0.505,0.0116,0.0588,0.915,129.314,166972
"September 4, 2022 at 03:09AM",On the Low,Nick Dorian,6MvXhJa5IejBC5YoqiiLLB,https://open.spotify.com/track/6MvXhJa5IejBC5YoqiiLLB,spotify:track:6MvXhJa5IejBC5YoqiiLLB,0.858,0.42,6,-11.057,0.0438,0.123,0.559,0.185,0.697,103.001,193400
"September 4, 2022 at 03:14AM",That Buzz,Goldwash,0jgOWbVs0JSmfU0xrYSabw,https://open.spotify.com/track/0jgOWbVs0JSmfU0xrYSabw,spotify:track:0jgOWbVs0JSmfU0xrYSabw,0.866,0.288,10,-9.574,0.0587,0.549,6.42e-05,0.117,0.578,137.99,270546
"September 4, 2022 at 03:17AM",Clarity,Early Eyes,2JbCwqzzPOdJU0bbEOgxid,https://open.spotify.com/track/2JbCwqzzPOdJU0bbEOgxid,spotify:track:2JbCwqzzPOdJU0bbEOgxid,0.825,0.487,11,-6.62,0.0379,0.302,0.0014,0.112,0.605,169.998,188979
